n_train,frac,split,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Dataset,Model
15643,0.6,validation,3,0.713957055214724,0.7482693517935809,0.6906767354051699,0.7183204953934451,0.7945921087668422,OULAD (week-4 features),Neural network (MLP)
20858,0.8,train,3,0.7359286604660082,0.7596716361577656,0.7311115147112242,0.7451180009254974,0.8162811086592588,OULAD (week-4 features),Neural network (MLP)
20858,0.8,validation,3,0.7254601226993865,0.7532945142506895,0.7139122857972698,0.7330748583358186,0.8038474393934517,OULAD (week-4 features),Neural network (MLP)
26073,1.0,train,3,0.7332873087101599,0.7651639025149887,0.7139120958953868,0.7386500300661455,0.8128153899766745,OULAD (week-4 features),Neural network (MLP)
26073,1.0,validation,3,0.7248466257668712,0.7623289850461342,0.6959047342433924,0.7276040085028849,0.8040297104683913,OULAD (week-4 features),Neural network (MLP)
1303,0.05,train,4,0.7674597083653109,0.7877428998505231,0.7659883720930233,0.7767133382461312,0.8470800245793156,OULAD (week-4 features),Neural network (MLP)
1303,0.05,validation,4,0.6991408407486959,0.7127659574468085,0.7204301075268817,0.7165775401069518,0.7747515408307759,OULAD (week-4 features),Neural network (MLP)
2607,0.1,train,4,0.7019562715765247,0.7360126083530338,0.6787790697674418,0.7062381852551984,0.7796949681673059,OULAD (week-4 features),Neural network (MLP)
2607,0.1,validation,4,0.7000613685179503,0.728756157635468,0.6878814298169137,0.7077291074899088,0.7726070289102989,OULAD (week-4 features),Neural network (MLP)
5215,0.2,train,4,0.7307766059443912,0.7367497367497368,0.7624409734834726,0.7493752231345948,0.8105420333124517,OULAD (week-4 features),Neural network (MLP)
5215,0.2,validation,4,0.7068119054924824,0.7159796725014116,0.7369950595757048,0.7263353859372762,0.7877153260067075,OULAD (week-4 features),Neural network (MLP)
10430,0.4,train,4,0.7160115052732502,0.7459887879373671,0.7007445069911022,0.7226591760299625,0.7920202459809521,OULAD (week-4 features),Neural network (MLP)
